subject_id,num_map_moves,time_viewing_graded_questions_ms,time_viewing_graded_explanations_ms,time_viewing_ungraded_explanations_ms,time_viewing_science_book_ms,num_science_book_page_views,num_causal_link_adds,num_causal_link_adds_effective,num_entity_adds,Final_Map_Score
-1,414,2822965,447986,60313,2796279,229,75,30,73,12
-1,67,463056,149254,73945,5881267,152,30,9,46,-1
-1,142,1262345,573472,201860,4746945,156,38,13,39,1
-1,243,1473138,106651,25893,4276956,295,53,37,64,17
-1,96,550850,233550,56665,5597177,446,17,9,23,3
-1,309,1013034,184817,60105,6086994,270,30,16,32,8
-1,44,1285819,45730,198106,4704007,178,24,9,33,3
-1,115,2377399,543683,21609,3922612,143,49,26,24,25
-1,191,927403,62230,67914,3422034,215,23,11,37,8
-1,336,2725835,834423,26347,5052199,203,59,35,91,20
-1,371,2024299,997229,49653,3280291,148,34,15,24,10
-1,507,1190868,78924,239964,2157573,181,85,43,24,20
-1,56,2075892,580809,105326,6484077,181,14,10,24,7
-1,110,1577832,428194,242919,2364186,138,41,12,36,-1
-1,535,2546107,804087,188825,1198146,57,27,11,29,2
-1,426,2270381,1329554,58614,2818462,245,55,22,25,6
-1,223,1357506,794768,33855,5392373,144,24,11,25,5
-1,108,2023833,225292,216865,4311248,78,26,16,20,9
-1,138,2033092,818850,77765,3985380,379,39,20,24,18
-1,213,578933,63660,41177,7650208,250,46,5,69,0
1,391,4023665,1399711,42125,1643431,136,80,37,22,25
1,331,2377067,1773553,80677,3717375,257,53,24,58,5
1,131,2536531,823500,342821,2818106,103,34,15,38,12
1,239,2440174,856338,41598,3187469,160,45,10,28,3
1,304,2365082,1444085,13386,4370790,250,45,26,29,20
1,456,2059792,332131,29834,1530432,232,53,26,50,10
1,228,1293369,269022,0,6089640,176,38,23,32,15
1,84,2507213,835199,167572,4387871,185,41,14,33,4
1,104,4102109,320724,7137,3535720,129,41,16,43,9
1,254,2686828,1176835,9658,3725681,201,55,25,36,15
1,299,2698003,527692,7972,3448680,206,65,32,50,14
1,257,2434555,1304213,57215,1881083,283,75,30,26,25
1,130,1617005,115029,99718,2130558,153,61,33,22,25
1,276,3315302,1105319,16162,2891867,138,49,26,34,16
1,203,2176367,259891,81101,2109072,161,112,41,50,16
1,127,2021912,280052,9658,2188133,92,66,34,49,14
1,203,1573243,1084676,26116,1662546,206,40,26,25,25
1,192,1171219,236233,56193,2340679,184,62,37,31,25
1,364,2568019,436803,3778,2261025,142,66,37,36,25
1,84,1922710,766359,2629,2217793,66,43,27,25,25
